"연합뉴스언론사 선정|https://search.pstatic.net/common/?src=https%3A%2F%2Fmimgnews.pstatic.net%2Fimage%2Fupload%2Foffice_logo%2F001%2F2017%2F06%2F29%2Flogo_001_18_20170629160329.png&type=f54_54&expire=24&refresh=true|""코로나19 감염됐던 사람은 백신 한번 맞아도 충분한 항체 생성""|하는 코로나19 백신을 1차 접종하는 것만으로도 바이러스에 대응할 수 있는 충분한 항체가 생긴다는 국내 연구 결과가 나왔다. 1일 의료계에 따르면 명지병원 임재균 진단검사의학과 교수는 19에 걸렸다가...|http://yna.kr/AKR20210831160900017?did=1195m|https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2021%2F09%2F01%2F12633800.jpg&type=ff264_180&expire=2&refresh=true"
"파이낸셜뉴스언론사 선정|https://search.pstatic.net/common/?src=https%3A%2F%2Fmimgnews.pstatic.net%2Fimage%2Fupload%2Foffice_logo%2F014%2F2020%2F12%2F30%2Flogo_014_18_20201230135042.png&type=f54_54&expire=24&refresh=true|루마니아서 150.3만회분 모더나·화이자 백신 온다...""이물질 우려 없어""|또 최근 전세계적으로 백신의 수급 시기 차이에 따른 백신의 교환, 공여, 재구매 등이 활발해짐에 따라 한국 정부도 백신의 효율적 활용 및 코로나19 대응 국제 협력에 기여할 예정이다.|http://www.fnnews.com/news/202109011046276770|https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F014%2F2021%2F09%2F01%2F4701549.jpg&type=ff264_180&expire=2&refresh=true"
"노컷뉴스언론사 선정|https://search.pstatic.net/common/?src=https%3A%2F%2Fmimgnews.pstatic.net%2Fimage%2Fupload%2Foffice_logo%2F079%2F2017%2F01%2F05%2Flogo_079_18_20170105111205.png&type=f54_54&expire=24&refresh=true|백신접종 후 '생리주기 아닌데 하혈' 호소…""연관성 없지만 모니터링""|코로나19 백신을 접종받은 뒤 생리(월경) 주기가 아님에도 '부정 출혈' 등 이상징후를 호소하는 여성들의 민원이 이어지는 가운데 당국이 ""아직 연관성은 확인된 바 없다""면서도 신고사례들을 토대로 인과관계를...|https://www.nocutnews.co.kr/news/5617421|https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F079%2F2021%2F09%2F01%2F3548191.jpg&type=ff264_180&expire=2&refresh=true"
"YTN언론사 선정|https://search.pstatic.net/common/?src=https%3A%2F%2Fmimgnews.pstatic.net%2Fimage%2Fupload%2Foffice_logo%2F052%2F2020%2F09%2F18%2Flogo_052_18_20200918202419.jpg&type=f54_54&expire=24&refresh=true|유니세프 ""북한, 코로나 백신 297만 회분을 타국에 양보""|유니세프 대변인은 북한에 대한 코로나 백신 지원 상황에 대한 질의에 ""북한 보건성이 북한에 배정된 백신 297만 회분을 코로나19로 심각한 영향을 받는 나라에 재배정해도 된다는 뜻을 전해왔다""고 답했다고 미국의소리...|https://www.ytn.co.kr/_ln/0101_202109010908365757|https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F052%2F2021%2F09%2F01%2F1634692.jpg&type=ofullfill264_180_gray&expire=2&refresh=true"
국민일보언론사 선정|https://search.pstatic.net/common/?src=https%3A%2F%2Fmimgnews.pstatic.net%2Fimage%2Fupload%2Foffice_logo%2F005%2F2017%2F01%2F05%2Flogo_005_18_20170105111205.png&type=f54_54&expire=24&refresh=true|‘미라클 작전’ 공군 코로나19 확진…백신 접종했는데|아프가니스탄의 조력자들을 국내로 데려오는 ‘미라클 작전’에 참여한 공군 간부가 코로나19에 확진됐다. 당국은 이번 사례를 백신을 권장 횟수만큼 접종하고 2주가 지난 ‘돌파감염’으로 보고 있다. 국방부는 1일...|http://news.kmib.co.kr/article/view.asp?arcid=0016225821&code=61121111&cp=nv|https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F005%2F2021%2F09%2F01%2F1467929.jpg&type=ff264_180&expire=2&refresh=true
"아시아경제언론사 선정|https://search.pstatic.net/common/?src=https%3A%2F%2Fmimgnews.pstatic.net%2Fimage%2Fupload%2Foffice_logo%2F277%2F2020%2F07%2F27%2Flogo_277_18_20200727103757.png&type=f54_54&expire=24&refresh=true|백신 접종 후 월경 이상반응 사례 잇따라…""시트 젖을 만큼 하혈""|코로나19 백신 접종 후 여성들이 부정출혈 등 이상 반응을 호소하는 사례가 나오는 가운데 최근 월경 이상 증상도 백신 부작용으로 신고할 수 있게 해달라는 내용의 청원 글이 올라왔다. 지난달 31일 청와대 국민청원...|https://view.asiae.co.kr/article/2021090117564970182|https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F277%2F2021%2F09%2F01%2F4962822.jpg&type=ff264_180&expire=2&refresh=true"
"노컷뉴스언론사 선정|https://search.pstatic.net/common/?src=https%3A%2F%2Fmimgnews.pstatic.net%2Fimage%2Fupload%2Foffice_logo%2F079%2F2017%2F01%2F05%2Flogo_079_18_20170105111205.png&type=f54_54&expire=24&refresh=true|루마니아 '백신협력' 화이자·모더나 150만회분 도입|우리 정부가 루마니아와의 협력을 통해 확보한 화이자와 모더나 코로나19 백신 150만 3천만 회분이 오는 2일부터 공급된다. 중앙재난안전대책본부 이기일 제1통제관은 1일 19 정례브리핑에서 ""한국과 루마니아...|https://www.nocutnews.co.kr/news/5617278|https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F079%2F2021%2F09%2F01%2F3548094.jpg&type=ff264_180&expire=2&refresh=true"
"이데일리언론사 선정|https://search.pstatic.net/common/?src=https%3A%2F%2Fmimgnews.pstatic.net%2Fimage%2Fupload%2Foffice_logo%2F018%2F2017%2F01%2F05%2Flogo_018_18_20170105111205.png&type=f54_54&expire=24&refresh=true|이번엔 '뮤 변이'…WHO, 콜롬비아發 코로나 변이 관심변종 지정|세계보건기구(WHO)가 코로나19 바이러스의 ‘뮤’(MU·B.1.621) 변이를 새로운 관심변종으로 지정했다 한 프랑스인이 코로나19 백신을 맞고 있다.(사진=AFP)31일(현지시간) ABC뉴스는 WHO가 지난 1월 콜롬비아에서 첫 발견된...|http://www.edaily.co.kr/news/newspath.asp?newsid=03509606629175856|https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F018%2F2021%2F09%2F01%2F5025623.jpg&type=ff264_180&expire=2&refresh=true"
"동아일보|https://search.pstatic.net/common/?src=https%3A%2F%2Fmimgnews.pstatic.net%2Fimage%2Fupload%2Foffice_logo%2F020%2F2017%2F01%2F05%2Flogo_020_18_20170105111205.png&type=f54_54&expire=24&refresh=true|식약처 내년 예산 6446억 원, 국산 코로나19 백신 개발 지원|먼저 식약처는 코로나19 백신 등 방역제품을 안정적으로 공급·지원하는 데 총 488억 원을 편성했다. 코로나19 백신 등 생물학적제제의 품질검사를 강화하기 위한 국가출하승인 전용 특수시험실을 구축하는 등 국가검증...|https://www.donga.com/news/article/all/20210901/109027784/2|https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F020%2F2021%2F09%2F01%2F3379502.jpg&type=ff264_180&expire=2&refresh=true"
"뉴시스언론사 선정|https://search.pstatic.net/common/?src=https%3A%2F%2Fmimgnews.pstatic.net%2Fimage%2Fupload%2Foffice_logo%2F003%2F2019%2F02%2F19%2Flogo_003_18_20190219111719.jpg&type=f54_54&expire=24&refresh=true|오늘 수능 마지막 모평 51만8677명 응시...3만명은 백신 노린 '허수' 추정|올해 9월 모의평가에 응시한 졸업생들에게 화이자 코로나19 백신 우선 접종 기회를 부여함에 따라 평년보다 약 3만명 많은 응시자가 지원했기 때문이다. 9월 모의평가에 지원한 수험생은 모두 51만8677명으로, 이 중...|http://www.newsis.com/view/?id=NISX20210831_0001566469&cID=10201&pID=10200|https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2021%2F09%2F01%2F10694735.jpg&type=ff264_180&expire=2&refresh=true"
